Order Number|Album Name|Title|Genre|Artist|Year|Description|Image Location|Media Type|Track Number|Download Link
11|Chánh Tinh Tấn - Thích Phước Tiến|Chánh Tinh Tấn - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/chanh-tinh-tan-thich-phuoc-tien_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-ChanhTinhTan.mp4
12|Chánh Tinh Tấn - Thích Phước Tiến|Chánh Tinh Tấn - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/chanh-tinh-tan-thich-phuoc-tien_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-ChanhTinhTan.mp3
13|Đối Trị Tâm Bệnh - Thích Phước Tiến|Đối Trị Tâm Bệnh - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/doi-tri-tam-benh-thich-phuoc-tien_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-DoiTriTamBenh.mp4
14|Đối Trị Tâm Bệnh - Thích Phước Tiến|Đối Trị Tâm Bệnh - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/doi-tri-tam-benh-thich-phuoc-tien_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-DoiTriTamBenh.mp3
15|Ở Hiền Gặp Lành Hay Dữ - Thích Phước Tiến|Ở Hiền Gặp Lành Hay Dữ - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/o-hien-gap-lanh-hay-du-thich-phuoc-tien_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-OHienGapLanhHayDu.mp4
16|Ở Hiền Gặp Lành Hay Dữ - Thích Phước Tiến|Ở Hiền Gặp Lành Hay Dữ - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/o-hien-gap-lanh-hay-du-thich-phuoc-tien_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-OHienGapLanhHayDu.mp3
17|Kinh Pháp Cú Phẩm Cấu Uế (Câu 235 đến 238) - Thích Phước Tiến|Kinh Pháp Cú Phẩm Cấu Uế Câu 235 đến 238 - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015|"Những phẩm trước quí vị có thể xem thêm tại link sau:
Kinh Pháp Cú"|https://lh5.googleusercontent.com/-vzVeWHscPro/Un9Khp0TGqI/AAAAAAAAA8k/YQDcqnr4uQU/s260/phatphapungdung10112013.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-KinhPhapCuPhamCauUe(Cau235-238).mp4
18|Kinh Pháp Cú Phẩm Cấu Uế (Câu 235 đến 238) - Thích Phước Tiến|Kinh Pháp Cú Phẩm Cấu Uế Câu 235 đến 238 - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015|"Những phẩm trước quí vị có thể xem thêm tại link sau:
Kinh Pháp Cú"|https://lh5.googleusercontent.com/-vzVeWHscPro/Un9Khp0TGqI/AAAAAAAAA8k/YQDcqnr4uQU/s260/phatphapungdung10112013.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-KinhPhapCuPhamCauUe(Cau235-238).mp3
19|Nỗi Lòng Biết Tỏ Cùng Ai - Thích Phước Tiến|Nỗi Lòng Biết Tỏ Cùng Ai - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/noi-long-biet-to-cung-ai_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-NoiLongBietToCungAi.mp4
20|Nỗi Lòng Biết Tỏ Cùng Ai - Thích Phước Tiến|Nỗi Lòng Biết Tỏ Cùng Ai - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/noi-long-biet-to-cung-ai_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-NoiLongBietToCungAi.mp3
21|Câu A Di Đà Phật nói lên điều gì - Thích Phước Tiến|Câu A Di Đà Phật nói lên điều gì - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/cau-a-di-da-phat-noi-len-dieu-gi_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-CauADiDaPhatNoiLenDieuGi.mp4
22|Câu A Di Đà Phật nói lên điều gì - Thích Phước Tiến|Câu A Di Đà Phật nói lên điều gì - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/cau-a-di-da-phat-noi-len-dieu-gi_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-CauADiDaPhatNoiLenDieuGi.mp3
23|Xét kỹ hậu quả trước khi làm - Thích Phước Tiến|Xét kỹ hậu quả trước khi làm - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/xet-ky-hau-qua-truoc-khi-lam_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-XetKyHauQuaTruocKhiLam.mp4
24|Xét kỹ hậu quả trước khi làm - Thích Phước Tiến|Xét kỹ hậu quả trước khi làm - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/xet-ky-hau-qua-truoc-khi-lam_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-XetKyHauQuaTruocKhiLam.mp3
25|Tu Trong Luân Hồi - Thích Phước Tiến|Tu Trong Luân Hồi - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/tu%20trong%20luan%20hoi_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-TuTrongLuanHoi.mp4
26|Tu Trong Luân Hồi - Thích Phước Tiến|Tu Trong Luân Hồi - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/tu%20trong%20luan%20hoi_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-TuTrongLuanHoi.mp3
27|Nhầm lẫn phương tiện trở thành đại họa - Thích Phước Tiến|Nhầm lẫn phương tiện trở thành đại họa - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/nham-lan-phuong-tien-tro-thanh-dai-hoa_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-NhamLanPhuongTienTroThanhDaiHoa.mp4
28|Nhầm lẫn phương tiện trở thành đại họa - Thích Phước Tiến|Nhầm lẫn phương tiện trở thành đại họa - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/nham-lan-phuong-tien-tro-thanh-dai-hoa_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-NhamLanPhuongTienTroThanhDaiHoa.mp3
29|Tấm vải che tử thi không có túi - Thích Phước Tiến|Tấm vải che tử thi không có túi - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/tam-vai-che-tu-thi_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-TamVaiCheTuThiKhongCoTui.mp4
30|Tấm vải che tử thi không có túi - Thích Phước Tiến|Tấm vải che tử thi không có túi - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/tam-vai-che-tu-thi_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-TamVaiCheTuThiKhongCoTui.mp3
31|Quán chúng sinh nghiệp duyên theo hạnh Quan Âm - Thích Phước Tiến|Quán chúng sinh nghiệp duyên theo hạnh Quan Âm - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015|Bài pháp thoại Quán chúng sinh nghiệp duyên theo hạnh Quan Âm do đại đức giảng sư Thích Phước Tiến thuyết giảng tại chùa Hoa Nghiêm (Bỉ Quốc) ngày 08/11/2015 (27/09/Ất Mùi)|http://phatphapungdung.com/upload/buddhist/images/Quan-chung-sinh-nghiep-duyen-theo-hanh-quan-am_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-QuanChungSinhNghiepDuyenTheoHanhQuanAm.mp4
32|Quán chúng sinh nghiệp duyên theo hạnh Quan Âm - Thích Phước Tiến|Quán chúng sinh nghiệp duyên theo hạnh Quan Âm - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015|Bài pháp thoại Quán chúng sinh nghiệp duyên theo hạnh Quan Âm do đại đức giảng sư Thích Phước Tiến thuyết giảng tại chùa Hoa Nghiêm (Bỉ Quốc) ngày 08/11/2015 (27/09/Ất Mùi)|http://phatphapungdung.com/upload/buddhist/images/Quan-chung-sinh-nghiep-duyen-theo-hanh-quan-am_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-QuanChungSinhNghiepDuyenTheoHanhQuanAm.mp3
33|Buồn đáng sợ hơn cả cái chết - Thích Phước Tiến|Buồn đáng sợ hơn cả cái chết - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/buon-dang-so-hon-ca-cai-chet_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-BuonDangSoHonCaCaiChet.mp4
34|Buồn đáng sợ hơn cả cái chết - Thích Phước Tiến|Buồn đáng sợ hơn cả cái chết - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/buon-dang-so-hon-ca-cai-chet_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-BuonDangSoHonCaCaiChet.mp3
35|Tu Phật bắt đầu từ đâu - Thích Phước Tiến|Tu Phật bắt đầu từ đâu - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015|Bài pháp thoại Tu Phật bắt đầu từ đâu do đại đức giảng sư Thích Phước Tiến thuyết giảng tại gia đình Phật tử Chân Thành (Pháp) ngày 5/11/2015 (24/9/Ất Mùi)|http://phatphapungdung.com/upload/buddhist/images/tu-phat-bat-dau-tu-dau_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-TuPhatBatDauTuDau.mp4
36|Tu Phật bắt đầu từ đâu - Thích Phước Tiến|Tu Phật bắt đầu từ đâu - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015|Bài pháp thoại Tu Phật bắt đầu từ đâu do đại đức giảng sư Thích Phước Tiến thuyết giảng tại gia đình Phật tử Chân Thành (Pháp) ngày 5/11/2015 (24/9/Ất Mùi)|http://phatphapungdung.com/upload/buddhist/images/tu-phat-bat-dau-tu-dau_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-TuPhatBatDauTuDau.mp3
37|Tu Với Chúng Sanh Hay Tu Với Phật - Thích Phước Tiến|Tu Với Chúng Sanh Hay Tu Với Phật - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/tu%20vs%20chung%20sanh_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-TuVoiChungSanhHayTuVoiPhat.mp4
38|Tu Với Chúng Sanh Hay Tu Với Phật - Thích Phước Tiến|Tu Với Chúng Sanh Hay Tu Với Phật - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/tu%20vs%20chung%20sanh_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-TuVoiChungSanhHayTuVoiPhat.mp3
39|Nhìn Đời Không Chỉ Bằng Đôi Mắt - Thích Phước Tiến|Nhìn Đời Không Chỉ Bằng Đôi Mắt - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/nhin-doi-khong-chi-bang-doi-mat-thich-phuoc-tien_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-NhinDoiKhongChiBangDoiMat.mp4
40|Nhìn Đời Không Chỉ Bằng Đôi Mắt - Thích Phước Tiến|Nhìn Đời Không Chỉ Bằng Đôi Mắt - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/nhin-doi-khong-chi-bang-doi-mat-thich-phuoc-tien_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-NhinDoiKhongChiBangDoiMat.mp3
41|Thế Gian Pháp Tức Phật Pháp - Thích Phước Tiến|Thế Gian Pháp Tức Phật Pháp - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/the-gian-phap-tuc-phat-phap-thich-phuoc-tien_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-TheGianPhapTucPhatPhap.mp4
42|Thế Gian Pháp Tức Phật Pháp - Thích Phước Tiến|Thế Gian Pháp Tức Phật Pháp - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/the-gian-phap-tuc-phat-phap-thich-phuoc-tien_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-TheGianPhapTucPhatPhap.mp3
43|Ra Khỏi Rừng Mê - Thích Phước Tiến|Ra Khỏi Rừng Mê - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/ra-khoi-rung-me_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-RaKhoiRungMe.mp4
44|Ra Khỏi Rừng Mê - Thích Phước Tiến|Ra Khỏi Rừng Mê - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/ra-khoi-rung-me_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-RaKhoiRungMe.mp3
45|Thuận Duyên Và Nghịch Duyên - Thích Phước Tiến|Thuận Duyên Và Nghịch Duyên - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/Thuan-Duyen-Va-Nghich-Duyen-thich-phuoc-tien_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-ThuanDuyenVaNghichDuyen.mp4
46|Thuận Duyên Và Nghịch Duyên - Thích Phước Tiến|Thuận Duyên Và Nghịch Duyên - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/Thuan-Duyen-Va-Nghich-Duyen-thich-phuoc-tien_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-ThuanDuyenVaNghichDuyen.mp3
47|Bệnh Ung Thư Và Thái Độ Người Phật Tử (KT60) - Thích Phước Tiến|Bệnh Ung Thư Và Thái Độ Người Phật Tử KT60 - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/benh%20ung%20thu%20va%20thai%20do%20nguoi%20phat%20tu_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/KhoaTuAnLac/ThichPhuocTien-BenhUngThuVaThaiDoNguoiPhatTu-KT60.mp4
48|Bệnh Ung Thư Và Thái Độ Người Phật Tử (KT60) - Thích Phước Tiến|Bệnh Ung Thư Và Thái Độ Người Phật Tử KT60 - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/benh%20ung%20thu%20va%20thai%20do%20nguoi%20phat%20tu_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/KhoaTuAnLac/ThichPhuocTien-BenhUngThuVaThaiDoNguoiPhatTu-KT60.mp3
49|Thức Ăn Của Tâm - Thích Phước Tiến|Thức Ăn Của Tâm - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/Thuc-an-cua-tam-thich-phuoc-tien_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-ThucAnCuaTam.mp4
50|Thức Ăn Của Tâm - Thích Phước Tiến|Thức Ăn Của Tâm - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/Thuc-an-cua-tam-thich-phuoc-tien_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-ThucAnCuaTam.mp3
51|Cuộc Sống Vốn Công Bằng - Thích Phước Tiến|Cuộc Sống Vốn Công Bằng - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/cuoc%20song%20von%20cong%20bang_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-CuocSongVonCongBang.mp4
52|Cuộc Sống Vốn Công Bằng - Thích Phước Tiến|Cuộc Sống Vốn Công Bằng - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/cuoc%20song%20von%20cong%20bang_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-CuocSongVonCongBang.mp3
53|Giá Trị Đích Thực Của Cuộc Đời - Thích Phước Tiến|Giá Trị Đích Thực Của Cuộc Đời - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/gia%20tri%20dich%20thuc%20cua%20cuoc%20doi_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-GiaTriDichThucCuaCuocDoi.mp4
54|Giá Trị Đích Thực Của Cuộc Đời - Thích Phước Tiến|Giá Trị Đích Thực Của Cuộc Đời - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/gia%20tri%20dich%20thuc%20cua%20cuoc%20doi_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-GiaTriDichThucCuaCuocDoi.mp3
